# Time,Theta 1,Theta 2,Tape Position,Tape Speed,Tension Arm 1 Height,Tension Arm 2 Height
5.7617199707e+02,6.0710996389e-01,1.9007183313e+00,2.2911817932e+02,7.7317056656e+00,3.9344263077e-01,1.2605042756e-01
5.7619201660e+02,5.3539198637e-01,1.8148101568e+00,2.2912818909e+02,7.0836501122e+00,3.9344263077e-01,1.2605042756e-01
5.7621203613e+02,4.6405753493e-01,1.7289019823e+00,2.2913821411e+02,7.8516869545e+00,3.9344263077e-01,1.2605042756e-01
5.7623205566e+02,3.9425712824e-01,1.6372410059e+00,2.2914756775e+02,6.7807788849e+00,3.8524588943e-01,1.1764705926e-01
5.7625201416e+02,3.2522377372e-01,1.5463470221e+00,2.2915859985e+02,8.0388450623e+00,3.9344263077e-01,1.2605042756e-01
5.7627203369e+02,2.5427284837e-01,1.4592883587e+00,2.2916893005e+02,7.8753347397e+00,3.9344263077e-01,1.2605042756e-01
5.7629205322e+02,1.8178781867e-01,1.3741471767e+00,2.2917990112e+02,8.2346715927e+00,3.9344263077e-01,1.2605042756e-01
5.7631201172e+02,1.0968632251e-01,1.2851709127e+00,2.2918960571e+02,7.9133853912e+00,3.8524588943e-01,1.2605042756e-01
5.7633203125e+02,3.9118897170e-02,1.1935099363e+00,2.2920027161e+02,7.9749035835e+00,3.9344263077e-01,1.1764705926e-01
5.7635205078e+02,6.2517371178e+00,1.1053006649e+00,2.2921092224e+02,8.0391950607e+00,3.9344263077e-01,1.2605042756e-01
5.7637200928e+02,6.1811695099e+00,1.0197759867e+00,2.2922192383e+02,8.1683635712e+00,3.9344263077e-01,1.2605042756e-01
5.7639202881e+02,6.1102185249e+00,9.3271726370e-01,2.2923225403e+02,8.0238971710e+00,3.9344263077e-01,1.2605042756e-01
5.7641204834e+02,6.0377335548e+00,8.4143990278e-01,2.2924130249e+02,6.9969987869e+00,3.9344263077e-01,1.2605042756e-01
